med	you
ucl-2077	1.0403176311465485
iaa-94	1.5902799029760653
alfadolone-acetate	1.0289589773584584
sc-68376	-0.2975004078131243
iodophenpropit	0.6201392756724715
terconazole	0.7139051849549892
tranilast	0.9987839089758183
quercetin	1.0434130443268363
zm-241385	-0.3927996434526916
brd-k21064560	1.7109330730396313
atomoxetine	0.8596679848198757
ubp-302	0.11348107827301149
molsidomine	0.2923492324999456
gabexate	0.481689202271222
ski-ii	1.1580056222647501
isorotenone	-0.0580844370361414
ag-490	2.0151918957159793
imperatorin	-0.330449524780241
eriodictyol	-0.28919759194280953
cymarin	-1.8918635621154085
lavendustin-a	0.8421372879324316
pk-11195	0.7310865154754521
gyki-52466	-0.015495271358463852
dihydrorobustic-acid	-0.21323634365302138
j-104129	1.097783148458256
bulleyaconitine-a	0.38550317685934443
brd-k26548821	0.29142697909427795
brd-k87919739	-0.3908156585757656
gr-159897	0.21323881154611998
embelin	0.6116847871659518
alprostadil	0.6600066346599396
rs-102221	0.5966829228911491
pco-400	0.36470883249286523
pd-198306	0.585010155735159
rescinnamine	0.859855178213746
emd-84	1.3817004725459283
doxepin	0.6370898765599119
lisuride	1.0786656748698922
bay-36-7620	-0.5600575113548999
zm-306416	0.12468919005086519
dosulepin	-0.9261065869835221
ciclacillin	-1.0338591006599416
medrysone	0.07910938767303194
methyllidocaine	0.26928447661232885
pnu-22394	-0.6635082597328261
ite	-0.34011884643582807
gw-441756	0.8464711983574746
pravastatin	0.03159274275002011
testosterone	-1.8047308663159074
d-64131	0.36081925254726055
benzamil	-0.6070599349671029
nomegestrol-acetate	0.5239147948082716
totaralolal	0.7427062688862084
brd-k28680267	1.2773105524641029
rosmarinic-acid	0.37233444833036833
sulfafurazole	0.4673086431273652
cinalukast	0.3987686236009607
fenoldopam	-0.8115257874916619
dmeob	1.8132149441075929
bay-11-7082	0.03525418742622417
t-0070907	0.1273531064396632
pit	0.6202268119745121
mestranol	0.5079676076231794
piceatannol	1.3119179830632317
cgp-53353	0.3143002721896368
nifedipine	0.3571387130642457
ditolylguanidine	0.1788174208194602
clomipramine	-0.14514197868071962
ly-225910	1.3069758073205129
am-92016	0.559931148407082
gbr-12783	1.768590069926394
fasudil	0.13021954471631703
brd-k60932973	1.035390632220309
nefazodone	-0.5196195761671295
sb-431542	0.7951509966778476
sr-142948	-0.42919794863600275
pp-2	2.0449168300051332
gtp-14564	0.7256587639189486
kb-r7943	0.4422013585046696
am-251	0.4062831512044045
flumazenil	-0.20189002531700823
sto-609	1.2809209238873638
sdz-205-557	-0.7519341410798018
ubenimex	-0.14586590533464605
sb-203580	-0.09129343550090954
gabazine	1.1304385155776493
niguldipine	-0.09446146007866588
desmethylclozapine	0.4704636181665219
brl-15572	0.27935116952035266
l-745870	0.4523329450224513
brd-k16233984	0.3596331059352938
isocarboxazid	1.864030493434152
bcl2-inhibitor	-0.04948253967087893
ketanserin	-0.29302739133653094
